,Team,Date,Opponent,Result,Location
0,Gonzaga,Tue Nov 9,Dixie St.,W,Home
1,Gonzaga,Sat Nov 13,Texas,W,Home
2,Gonzaga,Mon Nov 15,Alcorn St.,W,Home
3,Gonzaga,Fri Nov 19,Bellarmine,W,Home
4,Gonzaga,Mon Nov 22,Central Michigan,W,Neutral
5,Gonzaga,Tue Nov 23,UCLA,W,Neutral
6,Gonzaga,Fri Nov 26,Duke,L,Neutral
7,Gonzaga,Mon Nov 29,Tarleton St.,W,Home
8,Gonzaga,Sat Dec 4,Alabama,L,Semi-Home
9,Gonzaga,Thu Dec 9,Merrimack,W,Home
10,Gonzaga,Sat Dec 18,Texas Tech,W,Neutral
11,Gonzaga,Mon Dec 20,Northern Arizona,W,Home
12,Gonzaga,Tue Dec 28,North Alabama,W,Home
13,Gonzaga,Sat Jan 8,Pepperdine,W,Home
14,Gonzaga,Thu Jan 13,BYU,W,Home
15,Gonzaga,Sat Jan 15,Santa Clara,W,Away
16,Gonzaga,Thu Jan 20,San Francisco,W,Home
17,Gonzaga,Thu Jan 27,Loyola Marymount,W,Home
18,Gonzaga,Sat Jan 29,Portland,W,Home
19,Gonzaga,Thu Feb 3,San Diego,W,Away
20,Gonzaga,Sat Feb 5,BYU,W,Away
21,Gonzaga,Thu Feb 10,Pacific,W,Home
22,Gonzaga,Sat Feb 12,Saint Mary's,W,Home
23,Gonzaga,Wed Feb 16,Pepperdine,W,Away
24,Gonzaga,Sat Feb 19,Santa Clara,W,Home
25,Gonzaga,Thu Feb 24,San Francisco,W,Away
26,Gonzaga,Sat Feb 26,Saint Mary's,L,Away
27,Gonzaga,Mon Mar 7,San Francisco,W,Neutral
28,Gonzaga,Tue Mar 8,Saint Mary's,W,Neutral
29,Gonzaga,Thu Mar 17,Georgia St.,W,Neutral
30,Gonzaga,Sat Mar 19,Memphis,W,Neutral
31,Gonzaga,Thu Mar 24,Arkansas,L,Neutral
32,Houston,Tue Nov 9,Hofstra,W,Home
33,Houston,Fri Nov 12,Rice,W,Home
34,Houston,Tue Nov 16,Virginia,W,Home
35,Houston,Mon Nov 22,Butler,W,Neutral
36,Houston,Tue Nov 23,Wisconsin,L,Neutral
37,Houston,Wed Nov 24,Oregon,W,Neutral
38,Houston,Tue Nov 30,Northwestern St.,W,Home
39,Houston,Fri Dec 3,Bryant,W,Home
40,Houston,Mon Dec 6,Alcorn St.,W,Home
41,Houston,Sat Dec 11,Alabama,L,Away
42,Houston,Tue Dec 14,Louisiana,W,Home
43,Houston,Sat Dec 18,Oklahoma St.,W,Neutral
44,Houston,Wed Dec 22,Texas St.,W,Home
45,Houston,Sun Jan 2,Temple,W,Away
46,Houston,Wed Jan 5,South Florida,W,Away
47,Houston,Sat Jan 8,Wichita St.,W,Home
48,Houston,Sat Jan 15,Tulsa,W,Away
49,Houston,Tue Jan 18,South Florida,W,Home
50,Houston,Sat Jan 22,East Carolina,W,Home
51,Houston,Sat Jan 29,UCF,W,Away
52,Houston,Wed Feb 2,Tulane,W,Home
53,Houston,Sun Feb 6,Cincinnati,W,Away
54,Houston,Wed Feb 9,SMU,L,Away
55,Houston,Sat Feb 12,Memphis,L,Home
56,Houston,Thu Feb 17,UCF,W,Home
57,Houston,Sun Feb 20,Wichita St.,W,Away
58,Houston,Wed Feb 23,Tulane,W,Away
59,Houston,Sun Feb 27,SMU,W,Home
60,Houston,Tue Mar 1,Cincinnati,W,Home
61,Houston,Thu Mar 3,Temple,W,Home
62,Houston,Sun Mar 6,Memphis,L,Away
63,Houston,Fri Mar 11,Cincinnati,W,Neutral
64,Houston,Sat Mar 12,Tulane,W,Neutral
65,Houston,Sun Mar 13,Memphis,W,Neutral
66,Houston,Fri Mar 18,UAB,W,Neutral
67,Houston,Sun Mar 20,Illinois,W,Neutral
68,Houston,Thu Mar 24,Arizona,W,Neutral
69,Houston,Sat Mar 26,Villanova,L,Neutral
70,Kansas,Tue Nov 9,Michigan St.,W,Neutral
71,Kansas,Fri Nov 12,Tarleton St.,W,Home
72,Kansas,Thu Nov 18,Stony Brook,W,Home
73,Kansas,Thu Nov 25,North Texas,W,Neutral
74,Kansas,Fri Nov 26,Dayton,L,Neutral
75,Kansas,Sun Nov 28,Iona,W,Neutral
76,Kansas,Fri Dec 3,St. John's,W,Semi-Away
77,Kansas,Tue Dec 7,UTEP,W,Semi-Home
78,Kansas,Sat Dec 11,Missouri,W,Home
79,Kansas,Sat Dec 18,Stephen F. Austin,W,Home
80,Kansas,Wed Dec 29,Nevada,W,Home
81,Kansas,Sat Jan 1,George Mason,W,Home
82,Kansas,Tue Jan 4,Oklahoma St.,W,Away
83,Kansas,Sat Jan 8,Texas Tech,L,Away
84,Kansas,Tue Jan 11,Iowa St.,W,Home
85,Kansas,Sat Jan 15,West Virginia,W,Home
86,Kansas,Tue Jan 18,Oklahoma,W,Away
87,Kansas,Sat Jan 22,Kansas St.,W,Away
88,Kansas,Mon Jan 24,Texas Tech,W,Home
89,Kansas,Sat Jan 29,Kentucky,L,Home
90,Kansas,Tue Feb 1,Iowa St.,W,Away
91,Kansas,Sat Feb 5,Baylor,W,Home
92,Kansas,Mon Feb 7,Texas,L,Away
93,Kansas,Sat Feb 12,Oklahoma,W,Home
94,Kansas,Mon Feb 14,Oklahoma St.,W,Home
95,Kansas,Sat Feb 19,West Virginia,W,Away
96,Kansas,Tue Feb 22,Kansas St.,W,Home
97,Kansas,Sat Feb 26,Baylor,L,Away
98,Kansas,Tue Mar 1,TCU,L,Away
99,Kansas,Thu Mar 3,TCU,W,Home
100,Kansas,Sat Mar 5,Texas,W,Home
101,Kansas,Thu Mar 10,West Virginia,W,Semi-Home
102,Kansas,Fri Mar 11,TCU,W,Semi-Home
103,Kansas,Sat Mar 12,Texas Tech,W,Semi-Home
104,Kansas,Thu Mar 17,Texas Southern,W,Neutral
105,Kansas,Sat Mar 19,Creighton,W,Neutral
106,Kansas,Fri Mar 25,Providence,W,Neutral
107,Kansas,Sun Mar 27,Miami FL,W,Neutral
108,Kansas,Sat Apr 2,Villanova,W,Neutral
109,Kansas,Mon Apr 4,North Carolina,W,Neutral
110,Baylor,Fri Nov 12,Incarnate Word,W,Home
111,Baylor,Mon Nov 15,Nicholls St.,W,Home
112,Baylor,Wed Nov 17,Central Arkansas,W,Home
113,Baylor,Sat Nov 20,Stanford,W,Home
114,Baylor,Wed Nov 24,Arizona St.,W,Neutral
115,Baylor,Thu Nov 25,VCU,W,Neutral
116,Baylor,Fri Nov 26,Michigan St.,W,Neutral
117,Baylor,Sat Dec 4,Arkansas Pine Bluff,W,Home
118,Baylor,Sun Dec 12,Villanova,W,Home
119,Baylor,Sat Dec 18,Oregon,W,Away
120,Baylor,Mon Dec 20,Alcorn St.,W,Home
121,Baylor,Tue Dec 28,Northwestern St.,W,Home
122,Baylor,Sat Jan 1,Iowa St.,W,Away
123,Baylor,Tue Jan 4,Oklahoma,W,Home
124,Baylor,Sat Jan 8,TCU,W,Away
125,Baylor,Tue Jan 11,Texas Tech,L,Home
126,Baylor,Sat Jan 15,Oklahoma St.,L,Home
127,Baylor,Tue Jan 18,West Virginia,W,Away
128,Baylor,Sat Jan 22,Oklahoma,W,Away
129,Baylor,Tue Jan 25,Kansas St.,W,Home
130,Baylor,Sat Jan 29,Alabama,L,Away
131,Baylor,Mon Jan 31,West Virginia,W,Home
132,Baylor,Sat Feb 5,Kansas,L,Away
133,Baylor,Wed Feb 9,Kansas St.,W,Away
134,Baylor,Sat Feb 12,Texas,W,Home
135,Baylor,Wed Feb 16,Texas Tech,L,Away
136,Baylor,Sat Feb 19,TCU,W,Home
137,Baylor,Mon Feb 21,Oklahoma St.,W,Away
138,Baylor,Sat Feb 26,Kansas,W,Home
139,Baylor,Mon Feb 28,Texas,W,Away
140,Baylor,Sat Mar 5,Iowa St.,W,Home
141,Baylor,Thu Mar 10,Oklahoma,L,Neutral
142,Baylor,Thu Mar 17,Norfolk St.,W,Neutral
143,Baylor,Sat Mar 19,North Carolina,L,Neutral
144,Arizona,Tue Nov 9,Northern Arizona,W,Home
145,Arizona,Fri Nov 12,UT Rio Grande Valley,W,Home
146,Arizona,Tue Nov 16,North Dakota St.,W,Home
147,Arizona,Fri Nov 19,Wichita St.,W,Neutral
148,Arizona,Sun Nov 21,Michigan,W,Neutral
149,Arizona,Sat Nov 27,Sacramento St.,W,Home
150,Arizona,Sun Dec 5,Oregon St.,W,Away
151,Arizona,Wed Dec 8,Wyoming,W,Home
152,Arizona,Sat Dec 11,Illinois,W,Away
153,Arizona,Wed Dec 15,Northern Colorado,W,Home
154,Arizona,Sat Dec 18,Cal Baptist,W,Home
155,Arizona,Wed Dec 22,Tennessee,L,Away
156,Arizona,Mon Jan 3,Washington,W,Home
157,Arizona,Thu Jan 13,Colorado,W,Home
158,Arizona,Sat Jan 15,Utah,W,Home
159,Arizona,Thu Jan 20,Stanford,W,Away
160,Arizona,Sun Jan 23,California,W,Away
161,Arizona,Tue Jan 25,UCLA,L,Away
162,Arizona,Sat Jan 29,Arizona St.,W,Home
163,Arizona,Thu Feb 3,UCLA,W,Home
164,Arizona,Sat Feb 5,USC,W,Home
165,Arizona,Mon Feb 7,Arizona St.,W,Away
166,Arizona,Thu Feb 10,Washington St.,W,Away
167,Arizona,Sat Feb 12,Washington,W,Away
168,Arizona,Thu Feb 17,Oregon St.,W,Home
169,Arizona,Sat Feb 19,Oregon,W,Home
170,Arizona,Thu Feb 24,Utah,W,Away
171,Arizona,Sat Feb 26,Colorado,L,Away
172,Arizona,Tue Mar 1,USC,W,Away
173,Arizona,Thu Mar 3,Stanford,W,Home
174,Arizona,Sat Mar 5,California,W,Home
175,Arizona,Thu Mar 10,Stanford,W,Neutral
176,Arizona,Fri Mar 11,Colorado,W,Neutral
177,Arizona,Sat Mar 12,UCLA,W,Neutral
178,Arizona,Fri Mar 18,Wright St.,W,Neutral
179,Arizona,Sun Mar 20,TCU,W,Neutral
180,Arizona,Thu Mar 24,Houston,L,Neutral
181,Kentucky,Tue Nov 9,Duke,L,Neutral
182,Kentucky,Fri Nov 12,Robert Morris,W,Home
183,Kentucky,Tue Nov 16,Mount St. Mary's,W,Home
184,Kentucky,Fri Nov 19,Ohio,W,Home
185,Kentucky,Mon Nov 22,Albany,W,Home
186,Kentucky,Fri Nov 26,North Florida,W,Home
187,Kentucky,Mon Nov 29,Central Michigan,W,Home
188,Kentucky,Tue Dec 7,Southern,W,Home
189,Kentucky,Sat Dec 11,Notre Dame,L,Away
190,Kentucky,Sat Dec 18,North Carolina,W,Neutral
191,Kentucky,Wed Dec 22,Western Kentucky,W,Home
192,Kentucky,Wed Dec 29,Missouri,W,Home
193,Kentucky,Fri Dec 31,High Point,W,Home
194,Kentucky,Tue Jan 4,LSU,L,Away
195,Kentucky,Sat Jan 8,Georgia,W,Home
196,Kentucky,Tue Jan 11,Vanderbilt,W,Away
197,Kentucky,Sat Jan 15,Tennessee,W,Home
198,Kentucky,Wed Jan 19,Texas A&M,W,Away
199,Kentucky,Sat Jan 22,Auburn,L,Away
200,Kentucky,Tue Jan 25,Mississippi St.,W,Home
201,Kentucky,Sat Jan 29,Kansas,W,Away
202,Kentucky,Wed Feb 2,Vanderbilt,W,Home
203,Kentucky,Sat Feb 5,Alabama,W,Away
204,Kentucky,Tue Feb 8,South Carolina,W,Away
205,Kentucky,Sat Feb 12,Florida,W,Home
206,Kentucky,Tue Feb 15,Tennessee,L,Away
207,Kentucky,Sat Feb 19,Alabama,W,Home
208,Kentucky,Wed Feb 23,LSU,W,Home
209,Kentucky,Sat Feb 26,Arkansas,L,Away
210,Kentucky,Tue Mar 1,Mississippi,W,Home
211,Kentucky,Sat Mar 5,Florida,W,Away
212,Kentucky,Fri Mar 11,Vanderbilt,W,Neutral
213,Kentucky,Sat Mar 12,Tennessee,L,Neutral
214,Kentucky,Thu Mar 17,Saint Peter's,L,Neutral
215,Texas Tech,Tue Nov 9,North Florida,W,Home
216,Texas Tech,Fri Nov 12,Grambling St.,W,Home
217,Texas Tech,Mon Nov 15,Prairie View A&M,W,Home
218,Texas Tech,Sat Nov 20,Incarnate Word,W,Neutral
219,Texas Tech,Tue Nov 23,Nebraska Omaha,W,Home
220,Texas Tech,Sat Nov 27,Lamar,W,Home
221,Texas Tech,Wed Dec 1,Providence,L,Away
222,Texas Tech,Tue Dec 7,Tennessee,W,Neutral
223,Texas Tech,Tue Dec 14,Arkansas St.,W,Home
224,Texas Tech,Sat Dec 18,Gonzaga,L,Neutral
225,Texas Tech,Wed Dec 22,Eastern Washington,W,Home
226,Texas Tech,Tue Dec 28,Alabama St.,W,Home
227,Texas Tech,Wed Jan 5,Iowa St.,L,Away
228,Texas Tech,Sat Jan 8,Kansas,W,Home
229,Texas Tech,Tue Jan 11,Baylor,W,Away
230,Texas Tech,Thu Jan 13,Oklahoma St.,W,Home
231,Texas Tech,Sat Jan 15,Kansas St.,L,Away
232,Texas Tech,Tue Jan 18,Iowa St.,W,Home
233,Texas Tech,Sat Jan 22,West Virginia,W,Home
234,Texas Tech,Mon Jan 24,Kansas,L,Away
235,Texas Tech,Sat Jan 29,Mississippi St.,W,Home
236,Texas Tech,Tue Feb 1,Texas,W,Home
237,Texas Tech,Sat Feb 5,West Virginia,W,Away
238,Texas Tech,Wed Feb 9,Oklahoma,L,Away
239,Texas Tech,Sat Feb 12,TCU,W,Home
240,Texas Tech,Wed Feb 16,Baylor,W,Home
241,Texas Tech,Sat Feb 19,Texas,W,Away
242,Texas Tech,Tue Feb 22,Oklahoma,W,Home
243,Texas Tech,Sat Feb 26,TCU,L,Away
244,Texas Tech,Mon Feb 28,Kansas St.,W,Home
245,Texas Tech,Sat Mar 5,Oklahoma St.,L,Away
246,Texas Tech,Thu Mar 10,Iowa St.,W,Neutral
247,Texas Tech,Fri Mar 11,Oklahoma,W,Neutral
248,Texas Tech,Sat Mar 12,Kansas,L,Semi-Away
249,Texas Tech,Fri Mar 18,Montana St.,W,Neutral
250,Texas Tech,Sun Mar 20,Notre Dame,W,Neutral
251,Texas Tech,Thu Mar 24,Duke,L,Neutral
252,Duke,Tue Nov 9,Kentucky,W,Neutral
253,Duke,Fri Nov 12,Army,W,Home
254,Duke,Sat Nov 13,Campbell,W,Home
255,Duke,Tue Nov 16,Gardner Webb,W,Home
256,Duke,Fri Nov 19,Lafayette,W,Home
257,Duke,Mon Nov 22,The Citadel,W,Home
258,Duke,Fri Nov 26,Gonzaga,W,Neutral
259,Duke,Tue Nov 30,Ohio St.,L,Away
260,Duke,Tue Dec 14,South Carolina St.,W,Home
261,Duke,Thu Dec 16,Appalachian St.,W,Home
262,Duke,Sat Dec 18,Elon,W,Home
263,Duke,Wed Dec 22,Virginia Tech,W,Home
264,Duke,Tue Jan 4,Georgia Tech,W,Home
265,Duke,Sat Jan 8,Miami FL,L,Home
266,Duke,Wed Jan 12,Wake Forest,W,Away
267,Duke,Sat Jan 15,N.C. State,W,Home
268,Duke,Tue Jan 18,Florida St.,L,Away
269,Duke,Sat Jan 22,Syracuse,W,Home
270,Duke,Tue Jan 25,Clemson,W,Home
271,Duke,Sat Jan 29,Louisville,W,Away
272,Duke,Mon Jan 31,Notre Dame,W,Away
273,Duke,Sat Feb 5,North Carolina,W,Away
274,Duke,Mon Feb 7,Virginia,L,Home
275,Duke,Thu Feb 10,Clemson,W,Away
276,Duke,Sat Feb 12,Boston College,W,Away
277,Duke,Tue Feb 15,Wake Forest,W,Home
278,Duke,Sat Feb 19,Florida St.,W,Home
279,Duke,Wed Feb 23,Virginia,W,Away
280,Duke,Sat Feb 26,Syracuse,W,Away
281,Duke,Tue Mar 1,Pittsburgh,W,Away
282,Duke,Sat Mar 5,North Carolina,L,Home
283,Duke,Thu Mar 10,Syracuse,W,Neutral
284,Duke,Fri Mar 11,Miami FL,W,Neutral
285,Duke,Sat Mar 12,Virginia Tech,L,Neutral
286,Duke,Fri Mar 18,Cal St. Fullerton,W,Neutral
287,Duke,Sun Mar 20,Michigan St.,W,Neutral
288,Duke,Thu Mar 24,Texas Tech,W,Neutral
289,Duke,Sat Mar 26,Arkansas,W,Neutral
290,Duke,Sat Apr 2,North Carolina,L,Neutral
291,Tennessee,Tue Nov 9,Tennessee Martin,W,Home
292,Tennessee,Sun Nov 14,East Tennessee St.,W,Home
293,Tennessee,Sat Nov 20,Villanova,L,Neutral
294,Tennessee,Sun Nov 21,North Carolina,W,Neutral
295,Tennessee,Fri Nov 26,Tennessee Tech,W,Home
296,Tennessee,Tue Nov 30,Presbyterian,W,Home
297,Tennessee,Sat Dec 4,Colorado,W,Away
298,Tennessee,Tue Dec 7,Texas Tech,L,Neutral
299,Tennessee,Sat Dec 11,UNC Greensboro,W,Home
300,Tennessee,Tue Dec 14,USC Upstate,W,Home
301,Tennessee,Wed Dec 22,Arizona,W,Home
302,Tennessee,Wed Dec 29,Alabama,L,Away
303,Tennessee,Wed Jan 5,Mississippi,W,Home
304,Tennessee,Sat Jan 8,LSU,L,Away
305,Tennessee,Tue Jan 11,South Carolina,W,Home
306,Tennessee,Sat Jan 15,Kentucky,L,Away
307,Tennessee,Tue Jan 18,Vanderbilt,W,Away
308,Tennessee,Sat Jan 22,LSU,W,Home
309,Tennessee,Wed Jan 26,Florida,W,Home
310,Tennessee,Sat Jan 29,Texas,L,Away
311,Tennessee,Tue Feb 1,Texas A&M,W,Home
312,Tennessee,Sat Feb 5,South Carolina,W,Away
313,Tennessee,Wed Feb 9,Mississippi St.,W,Away
314,Tennessee,Sat Feb 12,Vanderbilt,W,Home
315,Tennessee,Tue Feb 15,Kentucky,W,Home
316,Tennessee,Sat Feb 19,Arkansas,L,Away
317,Tennessee,Tue Feb 22,Missouri,W,Away
318,Tennessee,Sat Feb 26,Auburn,W,Home
319,Tennessee,Tue Mar 1,Georgia,W,Away
320,Tennessee,Sat Mar 5,Arkansas,W,Home
321,Tennessee,Fri Mar 11,Mississippi St.,W,Neutral
322,Tennessee,Sat Mar 12,Kentucky,W,Neutral
323,Tennessee,Sun Mar 13,Texas A&M,W,Neutral
324,Tennessee,Thu Mar 17,Longwood,W,Neutral
325,Tennessee,Sat Mar 19,Michigan,L,Neutral
326,Villanova,Tue Nov 9,Mount St. Mary's,W,Home
327,Villanova,Fri Nov 12,UCLA,L,Away
328,Villanova,Tue Nov 16,Howard,W,Home
329,Villanova,Sat Nov 20,Tennessee,W,Neutral
330,Villanova,Sun Nov 21,Purdue,L,Neutral
331,Villanova,Sun Nov 28,La Salle,W,Away
332,Villanova,Wed Dec 1,Penn,W,Away
333,Villanova,Sat Dec 4,Saint Joseph's,W,Home
334,Villanova,Tue Dec 7,Syracuse,W,Neutral
335,Villanova,Sun Dec 12,Baylor,L,Away
336,Villanova,Fri Dec 17,Creighton,L,Away
337,Villanova,Tue Dec 21,Xavier,W,Home
338,Villanova,Sat Jan 1,Seton Hall,W,Away
339,Villanova,Wed Jan 5,Creighton,W,Home
340,Villanova,Sat Jan 8,DePaul,W,Away
341,Villanova,Wed Jan 12,Xavier,W,Away
342,Villanova,Sun Jan 16,Butler,W,Home
343,Villanova,Wed Jan 19,Marquette,L,Home
344,Villanova,Sat Jan 22,Georgetown,W,Away
345,Villanova,Tue Jan 25,DePaul,W,Home
346,Villanova,Sat Jan 29,St. John's,W,Home
347,Villanova,Wed Feb 2,Marquette,L,Away
348,Villanova,Sat Feb 5,Connecticut,W,Home
349,Villanova,Tue Feb 8,St. John's,W,Away
350,Villanova,Sat Feb 12,Seton Hall,W,Home
351,Villanova,Tue Feb 15,Providence,W,Away
352,Villanova,Sat Feb 19,Georgetown,W,Home
353,Villanova,Tue Feb 22,Connecticut,L,Away
354,Villanova,Tue Mar 1,Providence,W,Home
355,Villanova,Sat Mar 5,Butler,W,Away
356,Villanova,Thu Mar 10,St. John's,W,Semi-Away
357,Villanova,Fri Mar 11,Connecticut,W,Neutral
358,Villanova,Sat Mar 12,Creighton,W,Neutral
359,Villanova,Fri Mar 18,Delaware,W,Neutral
360,Villanova,Sun Mar 20,Ohio St.,W,Neutral
361,Villanova,Thu Mar 24,Michigan,W,Neutral
362,Villanova,Sat Mar 26,Houston,W,Neutral
363,Villanova,Sat Apr 2,Kansas,L,Neutral
364,UCLA,Tue Nov 9,Cal St. Bakersfield,W,Home
365,UCLA,Fri Nov 12,Villanova,W,Home
366,UCLA,Mon Nov 15,Long Beach St.,W,Home
367,UCLA,Wed Nov 17,North Florida,W,Home
368,UCLA,Mon Nov 22,Bellarmine,W,Neutral
369,UCLA,Tue Nov 23,Gonzaga,L,Neutral
370,UCLA,Sat Nov 27,UNLV,W,Away
371,UCLA,Wed Dec 1,Colorado,W,Home
372,UCLA,Sat Dec 11,Marquette,W,Away
373,UCLA,Thu Jan 6,Long Beach St.,W,Home
374,UCLA,Sat Jan 8,California,W,Away
375,UCLA,Thu Jan 13,Oregon,L,Home
376,UCLA,Sat Jan 15,Oregon St.,W,Home
377,UCLA,Thu Jan 20,Utah,W,Away
378,UCLA,Sat Jan 22,Colorado,W,Away
379,UCLA,Tue Jan 25,Arizona,W,Home
380,UCLA,Thu Jan 27,California,W,Home
381,UCLA,Sat Jan 29,Stanford,W,Home
382,UCLA,Thu Feb 3,Arizona,L,Away
383,UCLA,Sat Feb 5,Arizona St.,L,Away
384,UCLA,Tue Feb 8,Stanford,W,Away
385,UCLA,Sat Feb 12,USC,L,Away
386,UCLA,Thu Feb 17,Washington St.,W,Home
387,UCLA,Sat Feb 19,Washington,W,Home
388,UCLA,Mon Feb 21,Arizona St.,W,Home
389,UCLA,Thu Feb 24,Oregon,L,Away
390,UCLA,Sat Feb 26,Oregon St.,W,Away
391,UCLA,Mon Feb 28,Washington,W,Away
392,UCLA,Sat Mar 5,USC,W,Home
393,UCLA,Thu Mar 10,Washington St.,W,Neutral
394,UCLA,Fri Mar 11,USC,W,Neutral
395,UCLA,Sat Mar 12,Arizona,L,Neutral
396,UCLA,Thu Mar 17,Akron,W,Neutral
397,UCLA,Sat Mar 19,Saint Mary's,W,Neutral
398,UCLA,Fri Mar 25,North Carolina,L,Neutral
399,Auburn,Tue Nov 9,Morehead St.,W,Home
400,Auburn,Fri Nov 12,Louisiana Monroe,W,Home
401,Auburn,Fri Nov 19,South Florida,W,Away
402,Auburn,Wed Nov 24,Connecticut,L,Neutral
403,Auburn,Thu Nov 25,Loyola Chicago,W,Neutral
404,Auburn,Fri Nov 26,Syracuse,W,Neutral
405,Auburn,Wed Dec 1,UCF,W,Home
406,Auburn,Sat Dec 4,Yale,W,Home
407,Auburn,Sat Dec 11,Nebraska,W,Neutral
408,Auburn,Tue Dec 14,North Alabama,W,Home
409,Auburn,Sat Dec 18,Saint Louis,W,Away
410,Auburn,Wed Dec 22,Murray St.,W,Home
411,Auburn,Wed Dec 29,LSU,W,Home
412,Auburn,Tue Jan 4,South Carolina,W,Away
413,Auburn,Sat Jan 8,Florida,W,Home
414,Auburn,Tue Jan 11,Alabama,W,Away
415,Auburn,Sat Jan 15,Mississippi,W,Away
416,Auburn,Wed Jan 19,Georgia,W,Home
417,Auburn,Sat Jan 22,Kentucky,W,Home
418,Auburn,Tue Jan 25,Missouri,W,Away
419,Auburn,Sat Jan 29,Oklahoma,W,Home
420,Auburn,Tue Feb 1,Alabama,W,Home
421,Auburn,Sat Feb 5,Georgia,W,Away
422,Auburn,Tue Feb 8,Arkansas,L,Away
423,Auburn,Sat Feb 12,Texas A&M,W,Home
424,Auburn,Wed Feb 16,Vanderbilt,W,Home
425,Auburn,Sat Feb 19,Florida,L,Away
426,Auburn,Wed Feb 23,Mississippi,W,Home
427,Auburn,Sat Feb 26,Tennessee,L,Away
428,Auburn,Wed Mar 2,Mississippi St.,W,Away
429,Auburn,Sat Mar 5,South Carolina,W,Home
430,Auburn,Fri Mar 11,Texas A&M,L,Neutral
431,Auburn,Fri Mar 18,Jacksonville St.,W,Neutral
432,Auburn,Sun Mar 20,Miami FL,L,Neutral
433,Iowa,Tue Nov 9,Longwood,W,Home
434,Iowa,Fri Nov 12,UMKC,W,Home
435,Iowa,Tue Nov 16,North Carolina Central,W,Home
436,Iowa,Thu Nov 18,Alabama St.,W,Home
437,Iowa,Mon Nov 22,Western Michigan,W,Home
438,Iowa,Fri Nov 26,Portland St.,W,Home
439,Iowa,Mon Nov 29,Virginia,W,Away
440,Iowa,Fri Dec 3,Purdue,L,Away
441,Iowa,Mon Dec 6,Illinois,L,Home
442,Iowa,Thu Dec 9,Iowa St.,L,Away
443,Iowa,Sat Dec 18,Utah St.,W,Neutral
444,Iowa,Tue Dec 21,Southeastern Louisiana,W,Home
445,Iowa,Wed Dec 29,Western Illinois,W,Home
446,Iowa,Mon Jan 3,Maryland,W,Home
447,Iowa,Thu Jan 6,Wisconsin,L,Away
448,Iowa,Thu Jan 13,Indiana,W,Home
449,Iowa,Sun Jan 16,Minnesota,W,Away
450,Iowa,Wed Jan 19,Rutgers,L,Away
451,Iowa,Sat Jan 22,Penn St.,W,Home
452,Iowa,Thu Jan 27,Purdue,L,Home
453,Iowa,Mon Jan 31,Penn St.,L,Away
454,Iowa,Sun Feb 6,Minnesota,W,Home
455,Iowa,Thu Feb 10,Maryland,W,Away
456,Iowa,Sun Feb 13,Nebraska,W,Home
457,Iowa,Thu Feb 17,Michigan,L,Home
458,Iowa,Sat Feb 19,Ohio St.,W,Away
459,Iowa,Tue Feb 22,Michigan St.,W,Home
460,Iowa,Fri Feb 25,Nebraska,W,Away
461,Iowa,Mon Feb 28,Northwestern,W,Home
462,Iowa,Thu Mar 3,Michigan,W,Away
463,Iowa,Sun Mar 6,Illinois,L,Away
464,Iowa,Thu Mar 10,Northwestern,W,Neutral
465,Iowa,Fri Mar 11,Rutgers,W,Neutral
466,Iowa,Sat Mar 12,Indiana,W,Neutral
467,Iowa,Sun Mar 13,Purdue,W,Neutral
468,Iowa,Thu Mar 17,Richmond,L,Neutral
469,Purdue,Tue Nov 9,Bellarmine,W,Home
470,Purdue,Fri Nov 12,Indiana St.,W,Home
471,Purdue,Tue Nov 16,Wright St.,W,Home
472,Purdue,Sat Nov 20,North Carolina,W,Neutral
473,Purdue,Sun Nov 21,Villanova,W,Neutral
474,Purdue,Fri Nov 26,Nebraska Omaha,W,Home
475,Purdue,Tue Nov 30,Florida St.,W,Home
476,Purdue,Fri Dec 3,Iowa,W,Home
477,Purdue,Thu Dec 9,Rutgers,L,Away
478,Purdue,Sun Dec 12,N.C. State,W,Neutral
479,Purdue,Sat Dec 18,Butler,W,Neutral
480,Purdue,Mon Dec 20,Incarnate Word,W,Home
481,Purdue,Wed Dec 29,Nicholls St.,W,Home
482,Purdue,Mon Jan 3,Wisconsin,L,Home
483,Purdue,Sat Jan 8,Penn St.,W,Away
484,Purdue,Fri Jan 14,Nebraska,W,Home
485,Purdue,Mon Jan 17,Illinois,W,Away
486,Purdue,Thu Jan 20,Indiana,L,Away
487,Purdue,Sun Jan 23,Northwestern,W,Home
488,Purdue,Thu Jan 27,Iowa,W,Away
489,Purdue,Sun Jan 30,Ohio St.,W,Home
490,Purdue,Wed Feb 2,Minnesota,W,Away
491,Purdue,Sat Feb 5,Michigan,W,Home
492,Purdue,Tue Feb 8,Illinois,W,Home
493,Purdue,Thu Feb 10,Michigan,L,Away
494,Purdue,Sun Feb 13,Maryland,W,Home
495,Purdue,Wed Feb 16,Northwestern,W,Away
496,Purdue,Sun Feb 20,Rutgers,W,Home
497,Purdue,Sat Feb 26,Michigan St.,L,Away
498,Purdue,Tue Mar 1,Wisconsin,L,Away
499,Purdue,Sat Mar 5,Indiana,W,Home
500,Purdue,Fri Mar 11,Penn St.,W,Neutral
501,Purdue,Sat Mar 12,Michigan St.,W,Neutral
502,Purdue,Sun Mar 13,Iowa,L,Neutral
503,Purdue,Fri Mar 18,Yale,W,Neutral
