,Name,AdjEM,AdjO,AdjD,AdjT,Luck
111,Western Kentucky,4.9,106.6,101.7,68.6,-0.033
112,George Mason,4.84,105.9,101.1,64.8,-0.108
113,Boston College,4.55,104.5,100.0,64.9,-0.08
114,Nevada,4.55,106.6,102.0,70.2,-0.035
115,Temple,4.48,102.1,97.7,66.3,0.083
116,Colgate,4.41,108.2,103.8,67.2,-0.076
117,Morehead St.,4.35,103.4,99.1,64.8,0.024
118,Utah Valley,4.33,102.7,98.3,65.8,-0.011
119,Hofstra,3.97,108.8,104.9,69.0,0.06
120,Butler,3.89,102.6,98.7,63.9,0.008
121,Utah,3.86,107.3,103.5,66.2,-0.121
122,Stephen F. Austin,3.84,102.3,98.4,69.1,0.03
123,Liberty,3.83,104.9,101.1,65.3,-0.034
124,Southern Illinois,3.7,102.5,98.8,62.1,-0.071
125,Akron,3.62,105.6,102.0,62.1,0.013
126,Louisville,3.59,103.0,99.4,67.0,0.001
127,N.C. State,3.55,109.6,106.0,66.9,-0.076
128,Florida Atlantic,3.49,105.4,101.9,67.5,-0.108
129,Buffalo,3.39,106.9,103.5,71.0,-0.033
130,Abilene Christian,3.38,104.1,100.7,70.3,0.04
131,Rhode Island,3.27,99.3,96.0,67.3,-0.089
132,UC Irvine,3.13,99.4,96.3,65.2,-0.005
133,Ohio,3.12,104.2,101.1,67.6,0.034
134,UC Santa Barbara,3.1,105.1,102.0,65.6,-0.084
135,Texas St.,3.08,105.7,102.7,63.8,0.114
136,Missouri,3.01,104.1,101.1,65.6,-0.02
137,Montana St.,2.94,104.3,101.4,67.5,0.085
138,Seattle,2.92,99.9,96.9,70.5,0.043
139,Nebraska,2.83,105.8,102.9,71.2,-0.057
140,Delaware,2.64,107.0,104.3,66.7,0.038
141,California,2.38,100.5,98.2,64.1,-0.048
142,Sam Houston St.,2.31,100.6,98.3,64.8,-0.004
143,Charleston,2.27,104.7,102.4,73.5,-0.035
144,Longwood,2.22,105.9,103.7,66.1,0.115
145,UNC Wilmington,2.04,105.1,103.1,65.5,0.155
146,Yale,1.98,100.7,98.8,68.8,0.063
147,Jacksonville St.,1.97,105.1,103.2,65.1,-0.005
148,Wagner,1.67,101.9,100.3,66.5,0.081
149,Georgia St.,1.6,101.5,99.9,67.3,0.062
150,Kent St.,1.58,101.6,100.0,66.0,0.056
151,North Dakota St.,1.54,102.9,101.4,66.4,0.101
